id,open time,open,high,low,close,volume,close time,quote asset volume,number of trades,taker buy base asset volume,taker buy quote asset volume,ignore
49,1635739500000,59738.98000000,59905.00000000,59626.97000000,59879.05000000,217.75225000,1635739799999,13018341.75926660,8036,119.52269000,7145823.28768320,0
50,1635739800000,59879.05000000,60271.00000000,59779.04000000,60222.19000000,333.53654000,1635740099999,20017729.96432690,8644,193.09736000,11590515.22592830,0
51,1635740100000,60222.20000000,60281.61000000,60120.19000000,60209.99000000,131.26072000,1635740399999,7902886.61948580,3918,59.59724000,3588019.55493460,0
52,1635740400000,60205.99000000,60338.63000000,60191.00000000,60319.88000000,100.11136000,1635740699999,6032722.92389370,3434,50.86049000,3065037.58328340,0
53,1635740700000,60319.89000000,60339.99000000,60237.13000000,60250.01000000,112.99229000,1635740999999,6811957.61412280,3319,48.04166000,2896120.27017950,0
54,1635741000000,60250.00000000,60733.88000000,60244.88000000,60595.91000000,255.96316000,1635741299999,15494850.83064250,10180,165.11076000,9993901.94061120,0
55,1635741300000,60595.92000000,60639.99000000,60500.00000000,60549.24000000,82.74391000,1635741599999,5009746.65487500,3111,43.82133000,2653110.47699320,0
56,1635741600000,60549.23000000,60629.29000000,60533.78000000,60610.60000000,117.28145000,1635741899999,7107520.44298800,3008,43.54676000,2638780.52263870,0
57,1635741900000,60610.59000000,60736.98000000,60507.00000000,60526.24000000,288.78556000,1635742199999,17507580.49604950,4666,163.91633000,9940526.04589680,0
58,1635742200000,60526.25000000,60610.39000000,60441.13000000,60570.01000000,153.39309000,1635742499999,9284769.58616400,3161,63.96758000,3872045.62135400,0
59,1635742500000,60570.01000000,60580.54000000,60500.00000000,60501.62000000,54.83120000,1635742799999,3319931.37289080,2115,30.53709000,1848936.51986410,0
60,1635742800000,60501.62000000,60589.28000000,60442.00000000,60501.71000000,70.47683000,1635743099999,4263896.94596760,3250,35.47147000,2146245.41913540,0
61,1635743100000,60501.70000000,60545.63000000,60446.11000000,60536.02000000,46.18123000,1635743399999,2793920.10273890,2367,24.06730000,1456150.00186800,0
62,1635743400000,60536.01000000,60835.46000000,60523.50000000,60700.02000000,236.88671000,1635743699999,14375893.09228170,6730,136.78775000,8300086.84666570,0
63,1635743700000,60700.03000000,60713.29000000,60629.20000000,60672.05000000,42.97178000,1635743999999,2606952.31805160,2295,26.60682000,1614099.24833890,0
64,1635744000000,60672.04000000,60857.94000000,60655.15000000,60748.54000000,76.44742000,1635744299999,4645553.73494420,3211,41.99203000,2551206.87972860,0
65,1635744300000,60748.53000000,60763.38000000,60633.97000000,60647.87000000,90.55143000,1635744599999,5495036.55454350,2747,35.18335000,2134874.84238670,0
66,1635744600000,60647.88000000,60689.72000000,60640.03000000,60666.84000000,83.62555000,1635744899999,5072961.04613980,2843,36.58653000,2219491.89941850,0
67,1635744900000,60666.83000000,60735.38000000,60654.65000000,60683.87000000,78.11859000,1635745199999,4741354.31063570,2937,46.17206000,2802407.78874670,0
68,1635745200000,60683.86000000,60754.34000000,60660.26000000,60744.14000000,74.11313000,1635745499999,4499592.87906390,2501,38.61112000,2344322.57436830,0
69,1635745500000,60744.14000000,60755.21000000,60642.29000000,60659.61000000,74.53762000,1635745799999,4522325.98967260,3140,44.51201000,2700565.07746460,0
70,1635745800000,60659.62000000,60668.31000000,60577.63000000,60628.28000000,122.12563000,1635746099999,7405610.18246360,4647,63.74048000,3865096.86011480,0
71,1635746100000,60628.27000000,60650.00000000,60573.83000000,60618.00000000,96.57900000,1635746399999,5854022.48571590,3447,48.59838000,2945746.49225380,0
72,1635746400000,60618.00000000,60618.02000000,60480.01000000,60490.14000000,149.43923000,1635746699999,9049514.67116240,4324,59.20555000,3585345.82115490,0
73,1635746700000,60490.14000000,60564.07000000,60448.85000000,60462.12000000,73.02034000,1635746999999,4417839.96928580,3232,36.40780000,2202746.57851650,0
74,1635747000000,60462.12000000,60475.62000000,60375.26000000,60396.01000000,75.53615000,1635747299999,4564029.23585820,3136,40.40623000,2441386.91675820,0
75,1635747300000,60396.00000000,60396.01000000,60284.00000000,60327.89000000,120.00600000,1635747599999,7239921.04566870,4089,59.57031000,3593602.10408350,0
76,1635747600000,60327.90000000,60438.83000000,60327.89000000,60426.72000000,80.63615000,1635747899999,4869104.33797340,3123,54.36918000,3282560.30883370,0
77,1635747900000,60425.00000000,60629.97000000,60409.26000000,60616.76000000,116.91753000,1635748199999,7076523.53270060,3419,79.49036000,4810584.53591720,0
78,1635748200000,60616.76000000,60755.21000000,60607.89000000,60705.54000000,125.47649000,1635748499999,7619534.29754870,3293,94.61015000,5745645.30880600,0
79,1635748500000,60705.55000000,60925.00000000,60677.80000000,60876.75000000,107.97253000,1635748799999,6566599.40117950,5021,56.60192000,3441632.05867840,0
80,1635748800000,60876.74000000,60933.95000000,60804.50000000,60830.96000000,227.86859000,1635749099999,13868450.03969720,4685,132.88380000,8087019.36043220,0
81,1635749100000,60830.95000000,60845.84000000,60719.36000000,60731.52000000,174.40097000,1635749399999,10602740.44684720,3459,80.56444000,4898121.23568160,0
82,1635749400000,60731.52000000,60779.63000000,60663.47000000,60698.91000000,56.06389000,1635749699999,3403730.44079890,2806,25.64427000,1556831.32943820,0
83,1635749700000,60698.91000000,60760.93000000,60668.47000000,60741.76000000,35.81673000,1635749999999,2174868.39749850,2279,19.38190000,1176945.10501580,0
84,1635750000000,60741.76000000,61365.82000000,60732.07000000,61275.51000000,577.19483000,1635750299999,35267967.23348780,15002,375.39315000,22934578.58014880,0
85,1635750300000,61271.78000000,61601.00000000,61258.96000000,61499.12000000,517.53619000,1635750599999,31812731.99740270,15443,296.73870000,18241916.72706940,0
86,1635750600000,61499.12000000,62144.00000000,61483.12000000,62054.44000000,886.94914000,1635750899999,54862223.60353280,28362,584.51551000,36164141.84812570,0
87,1635750900000,62054.44000000,62298.00000000,61885.71000000,62074.55000000,786.04727000,1635751199999,48848362.51731800,28870,478.30035000,29728918.03576650,0
88,1635751200000,62074.54000000,62150.00000000,61938.44000000,62111.28000000,244.32088000,1635751499999,15154730.42483760,6288,137.63009000,8537484.30970580,0
89,1635751500000,62111.27000000,62222.00000000,61993.39000000,62052.04000000,331.54285000,1635751799999,20587891.78420260,5716,174.24085000,10822105.72782440,0
90,1635751800000,62049.99000000,62167.29000000,61924.43000000,62081.41000000,438.22350000,1635752099999,27182589.75932140,6483,266.61472000,16534166.87938730,0
91,1635752100000,62081.42000000,62200.00000000,61961.59000000,61961.59000000,276.30884000,1635752399999,17154210.28726890,5634,134.80068000,8369909.41871750,0
92,1635752400000,61961.60000000,62075.20000000,61942.46000000,61949.77000000,140.82266000,1635752699999,8731287.09974070,3635,64.57368000,4003734.32959360,0
93,1635752700000,61949.77000000,62198.44000000,61933.83000000,62051.55000000,482.11812000,1635752999999,29940945.48044460,7025,188.96740000,11732671.43258100,0
94,1635753000000,62051.50000000,62184.98000000,62025.81000000,62109.09000000,260.37265000,1635753299999,16174679.17272750,5382,131.41951000,8161740.17174530,0
95,1635753300000,62109.09000000,62200.00000000,62078.62000000,62178.31000000,119.63228000,1635753599999,7432414.20780140,4043,62.65001000,3892389.24424140,0
96,1635753600000,62176.29000000,62350.00000000,62163.78000000,62316.61000000,334.36342000,1635753899999,20819431.23857830,9867,186.35202000,11603124.40163160,0
97,1635753900000,62316.61000000,62437.74000000,62162.13000000,62199.99000000,363.49384000,1635754199999,22654347.26412470,14065,203.59435000,12691888.85081630,0
98,1635754200000,62199.99000000,62261.67000000,62050.00000000,62115.83000000,154.99887000,1635754499999,9630012.78053790,5302,74.46644000,4626804.30633160,0
99,1635754500000,62115.83000000,62190.83000000,62059.53000000,62083.17000000,151.68953000,1635754799999,9426403.06895080,4532,91.39486000,5679742.68795930,0
100,1635754800000,62083.16000000,62226.15000000,62069.15000000,62152.35000000,175.34930000,1635755099999,10895551.66088140,5212,95.97331000,5963531.56327260,0
